barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
5594;2018-08-07;;FING;;;32;FING;"Modeling biological systems :";"Haefner, James W.";0387250115
5598;2018-08-07;;FING;;;44;FING;"Principles of tissue engineering.";"Lanza, Robert";0123706157
5599;2018-08-07;;FING;;;51;FING;"Bioinformatics and drug discovery.";"Larson, Richard S.";1592599648
5602;2018-08-07;;FING;;;42;FING;"Introduction to biomedical instrumentation :";"Christe, Barbara L.";9780521515122
5605;2018-08-07;;FING;;;32;FING;"Physiological control systems :";"Khoo, Michael C. K.";0780334086
5606;2018-08-07;;FING;;;10;FING;"Fisiología animal y evolución :";"Barja de Quiroga, Gustavo";8446002221
5609;2018-08-07;;FING;;;55;FING;"Sensores y acondicionadores de señal.";"Pallás Areny, Ramón";9701512316
5611;2018-08-07;;FING;;;31;FING;"Microcontroladores  MCS-51 y MCS-251.";"Matas Alcalá, José";8483015730
5613;2018-08-07;;FING;;;37;FING;"Saneamiento ambiental :";"Dallia, Sergio Miguel";9789875089822
5616;2018-08-07;;FING;;;28;FING;"Control automático de procesos :";"Smith, Carlos A.";9789681837914
5619;2018-08-07;;FING;;;28;FING;"Sistemas de control para ingeniería.";"Nise, Norman S.";9789702402541
5621;2018-08-07;;FING;;;30;FING;"Discrete-time signal processing /";"Oppenheim, Alan V.";9780131988422
5624;2018-08-07;;FING;;;23;FING;"Ecuaciones diferenciales.";"Boyce, William E.";9786070501616
5627;2018-08-07;;FING;;;59;FING;"Internet y competencias básicas :";"Monereo, Carles";9788478273737
5630;2018-08-07;;FING;;;21;FING;"Cálculo multivariable.";"Anton, Howard";9786070501197
5634;2018-08-07;;FING;;;12;FING;"Fundamentos de neurociencia.";"Soriano Mas, Carles";
5635;2018-08-07;;FING;;;42;FING;"Medical instrumentation :";"Webster, John G.";
5636;2018-08-07;;FING;;;44;FING;"Biomaterials science and biocompatibility.";"Silver, Frederick H.";0387987118
5646;2018-08-07;;FING;;;44;FING;"Handbook of biomaterials evaluation :";"Recum, Andreas F. von";1560324791
