barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
4378;2018-08-07;;FING;;;27;FING;"Electrónica /";"Hambley, Allan R.";8420529990
4453;2018-08-07;;FING;;;27;FING;"Electrónica /";"Hambley, Allan R.";8420529990
4454;2018-08-07;;FING;;;27;FING;"Electrónica /";"Hambley, Allan R.";8420529990
4382;2018-08-07;;FING;;;53;FING;"Handbook of neural networks signal processing.";"Hu, Yu Hen";0849323592
4384;2018-08-07;;FING;;;18;FING;"Técnicas y recursos para Word 97.";"Cruz, Adriana Anabel";9879131533
4385;2018-08-07;;FING;;;18;FING;"Trucos para Windows 95.";"Goldberger, Ricardo D.";9879131452
4386;2018-08-07;;FING;;;18;FING;"Office 97 al máximo.";"Kohrn, Fernando";9879131398
4387;2018-08-07;;FING;;;18;FING;"<ciento quince>115 preguntas avanzadas sobre Microsoft Windows 98.";"Goldberger, Ricardo D.";9875260088
4388;2018-08-07;;FING;;;18;FING;"Guía rápida Outlook.";"Cruz, Adriana Anabel";9879131630
4389;2018-08-07;;FING;;;18;FING;"Windows NT 4.0.";"Gjivoje, Cosme Rubén";9879131592
4390;2018-08-07;;FING;;;18;FING;"<cien>100 preguntas sobre Windows 98.";"Goldberger, Ricardo D.";9879131959
4391;2018-08-07;;FING;;;18;FING;"<ciento once>111 preguntas sobre correo electrónico.";"Zajdweber, Lionel Jorge";9875260045
4392;2018-08-07;;FING;;;18;FING;"Técnicas y recursos para Excel 97.";"Sánchez, Claudio";9879131649
4407;2018-08-07;;FING;;;18;FING;"Técnicas y recursos para Excel 97.";"Sánchez, Claudio";9879131649
4394;2018-08-07;;FING;;;18;FING;"Curso básico de computación.";"González, Darío Ángel";9875260010
4395;2018-08-07;;FING;;;18;FING;"Fundamentos de e-commerce.";"Fajardo, Jorge";9875260630
4396;2018-08-07;;FING;;;18;FING;"Conectando su empresa a Internet.";"Baserga, Juan Pablo";9879131665
4397;2018-08-07;;FING;;;18;FING;"<treinta>30 proyectos con Internet.";"Charrúa, Gabriel";9879131819
4398;2018-08-07;;FING;;;18;FING;"Nuevas actividades informáticas para EGB.";"López, Adriana Myriam";9875260363
4399;2018-08-07;;FING;;;18;FING;"<cincuenta>50 actividades informáticas para EGB.";"Scigliano, Alicia Haydée";9875260312
4400;2018-08-07;;FING;;;18;FING;"Guía visual Windows 95.";"Goldberger, Ricardo D.";987913169X
4401;2018-08-07;;FING;;;18;FING;"Guía visual de Excel 97.";"Sánchez, Claudio";9879131754
4402;2018-08-07;;FING;;;18;FING;"Manual Windows 98.";"Goldberger, Ricardo D.";9879131770
4403;2018-08-07;;FING;;;18;FING;"Microsoft Outlook 2000.";"Szerman, Norberto";9875260649
